id_venta,nro_transaccion,id_producto,fecha_venta,hora_venta,precio,cantidad,id_empleado,id_mesa
98,70,19,2024-05-17,20:18:00,6000,1,6,10
99,71,39,2024-05-17,20:52:00,6500,1,6,7
100,72,29,2024-05-17,20:55:00,9700,1,6,7
101,72,35,2024-05-17,20:55::00,8000,1,6,7
102,73,3,2024-05-17,20:57:00,8800,1,1,17
103,74,4,2024-05-17,21:04:00,10800,1,1,20
104,75,1,2024-05-17,21:16:00,6500,1,2,40
105,76,15,2024-05-17,21:27:00,10500,2,1,16
106,77,32,2024-05-17,21:53:00,10500,1,1,14
107,78,30,2024-05-17,22:00:00,7800,1,6,2
109,78,9,2024-05-17,22:00:00,6650,1,6,2
110,79,19,2024-05-17,22:08:00,6000,1,2,35
111,80,3,2024-05-17,22:08:00,8800,1,6,6
112,80,26,2024-05-17,22:08:00,8200,1,6,6
113,81,3,2024-05-17,22:10:00,8800,1,6,1
114,82,8,2024-05-17,22:12:00,8500,1,3,0
115,83,12,2024-05-17,22:15:00,8800,1,6,4
116,84,45,2024-05-17,22:21:00,7500,1,2,35
117,84,23,2024-05-17,22:21:00,9800,1,2,35
118,84,8,2024-05-17,22:21:00,8500,2,2,35
119,84,28,2024-05-17,22:21:00,9000,2,2,35
120,84,46,2024-05-17,22:21:00,5950,1,2,35
121,85,47,2024-05-17,22:24:00,24500,1,4,23
122,86,30,2024-05-17,22:25:00,7800,1,6,7
123,86,23,2024-05-17,22:25:00,9800,2,6,7
124,87,17,2024-05-17,22:25:00,7000,1,1,15
125,87,48,2024-05-17,22:25:00,6500,1,1,15
126,88,21,2024-05-17,22:26:00,6150,1,1,20
127,89,49,2024-05-17,22:31:00,5700,1,4,22
128,89,22,2024-05-17,22:31:00,10500,1,4,22
129,90,35,2024-05-17,22:39:00,8000,2,4,25
130,91,23,2024-05-17,22:41:00,9800,1,2,40
131,91,47,2024-05-17,22:41:00,24500,1,4,40
132,92,48,2024-05-17,22:44:00,6500,1,5,79
133,93,36,2024-05-17,22:46:00,11500,1,4,26
134,93,50,2024-05-17,22:46:00,13200,1,4,26
135,93,22,2024-05-17,22:46:00,10500,1,4,26
136,94,13,2024-05-17,22:49:00,2500,1,1,14
137,95,12,2024-05-17,23:00:00,8800,1,2,39
138,96,15,2024-05-17,23:01:00,10500,1,1,19
139,96,34,2024-05-17,23:01:00,9500,1,1,19
140,97,23,2024-05-17,23:13:00,9800,1,2,42
141,98,28,2024-05-17,23:18:00,9000,1,4,28
142,98,35,2024-05-17,23:18:00,8000,1,4,28
143,99,3,2024-05-17,23:18:00,8800,1,4,31
144,99,15,2024-05-17,23:18:00,10500,1,4,31
145,100,4,2024-05-17,23:28:00,10800,1,4,32
146,101,24,2024-05-17,23:37:00,6500,1,6,8
147,101,51,2024-05-17,23:37:00,6500,1,6,8
148,102,3,2024-05-17,23:35:00,8800,1,1,15
149,103,47,2024-05-17,23:40:00,24500,1,2,37
150,104,30,2024-05-17,23:46:00,7800,1,2,41
151,104,29,2024-05-17,23:46:00,9700,1,2,41
152,105,1,2024-05-17,23:47:00,6500,1,4,29
153,105,25,2024-05-17,23:47:00,16250,1,4,29
154,106,3,2024-05-17,23:51:00,8800,1,2,40
155,106,5,2024-05-17,23:51.00,11000,1,2,40
156,107,52,2024-05-17,23:59:00,6500,1,6,10
157,108,11,2024-05-17,00:03:00,1800,1,4,26
158,109,22,2024-05-17,00:15:00,10500,1,1,17
159,110,4,2024-05-17,00:45:00,10800,1,1,20
160,111,42,2024-05-17,00:46:00,10800,1,1,19
161,111,43,2024-05-17,00:46:00,7000,1,1,19
162,112,9,2024-05-17,00:51:00,6650,1,6,2
